2119 Party Room,https://reubird.hk/party-room/mk-2119/ga-mk-2119,"星期一至四

09:00 - 18:00：每位$25/小時
18:00 - 00:00：每位$30/小時
00:00 - 09:00：每位$25/小時(或8小時 每位$130)

 
星期五及週

09:00 - 18:00：每位$30/小時
18:00 - 00:00：每位$35/小時
00:00 - 09:00：每位$30/小時(或7小時 每位$150)

 
*加鐘依時段價錢收費",旺角旺角花園街2-16號好景商業中心, 場地面積: 220 (平方尺) ,"
 場地最高可容納人數: 8人 "
Hyphen Party & Event (鑽石山),https://reubird.hk/party-room/hyphen-party-dmh/gr-hyphen-party-dmh,"日間時段 ：08:00 - 18:00

星期一至五：每位$148 / 5小時
星期六日、公眾假期及公眾假期前夕：每位$168 / 5小時

 
晚間時段：19:00 - 23:30

星期一至四：每位$168 / 5小時
星期五至日、公眾假期及公眾假期前夕：每位$198 / 5小時

 
貓頭鷹時段：00:00 - 06:00

星期一至五：每位$188 / 整個時段
星期六日、公眾假期及公眾假期前夕：每位$208 / 整個時段
",新蒲崗五芳街華懋工業大廈8樓C室 , 場地面積: 2600 (平方尺) ,"
 場地最高可容納人數: 120人 "
Open Parties - 馬卡龍房（藍）,https://reubird.hk/party-room/open-parties-blue-mk/Dr-open-parties-blue-mk,"星期一至四

每位$138 / 首4小時

星期五至日

每位$158 / 首4小時

公眾假期及公眾假期前夕

每位$168 / 首4小時

注意事項

入場前會收取$500按金

如發現客人在場內吸煙、嘔吐、濺濕設施而引致額外清潔需要，該$500 作為額外清潔費賠，以作賠償
如情況持續多次發生有機會向客人收取多於 1 次清潔費用（$500）


以下事項如發現違規，每次收取清潔費為$500：

客人如使用 BBQ，必須離開前做好簡單清潔
如使用打邊爐，離開前需做好清洗爐具及用具
如非店員同意，客人切勿擅自更改或移動場內機器或遊戲設施
嚴禁在場內玩掟蛋糕、發放紙炮
嚴禁所有煙花和粉塵之類易燃物品進場


",旺角塘尾街60-62號福康工業大廈401室, 場地面積: 350 (平方尺) ,"
 場地最高可容納人數: 15人 "
Acoustic Partyroom (粉藍主題房),https://reubird.hk/party-room/mk-acoustic-party/Da-mk-acoustic-party,"2人收費
星期一至四：

08:00 - 17:00：每位$38 / 小時
17:00 - 23:00：每位$45 / 小時
23:00 - 06:00：每位$180 / 整個時段

星期五至日、公眾假期及公眾假期前夕：

08:00 - 17:00：每位$40 / 小時
17:00 - 23:00：每位$50 / 小時
23:00 - 06:00：每位$210 / 整個時段

3 - 4人收費
星期一至四：

08:00 - 17:00：每位$33 / 小時
17:00 - 23:00：每位$40 / 小時
23:00 - 06:00：每位$160 / 整個時段

星期五至日、公眾假期及公眾假期前夕：

08:00 - 17:00：每位$35 / 小時
17:00 - 23:00：每位$45 / 小時
23:00 - 06:00：每位$180 / 整個時段

5 - 8人收費
星期一至四：

08:00 - 17:00：每位$28 / 小時
17:00 - 23:00：每位$35 / 小時
23:00 - 06:00：每位$148 / 整個時段

星期五至日、公眾假期及公眾假期前夕：

08:00 - 17:00：每位$30 / 小時
17:00 - 23:00：每位$40 / 小時
23:00 - 06:00：每位$160 / 整個時段
",旺角好景商業中心, 場地面積: 150 (平方尺) ,"
 場地最高可容納人數: 6人 "
Lucky Five Party Room ＆BBQ,https://reubird.hk/party-room/lucky-five-party-room/lucky-five-party-room-7524,"
最少預約 6 小時
每位收費 $120 / 6 小時
6小時後，期後每位收費 $15 / 小時
如使用 BBQ 設備，會向客人收取 $200 一次性 BBQ 清潔費
",荃灣荃運工業中心一期, 場地面積: 1150 (平方尺) ,"
 場地最高可容納人數: 30人 "
Lazyboss - 浪漫鳥籠主題房,https://reubird.hk/party-room/lazyboss-birdcage/ga-lazyboss-birdcage,"星期一至四

09:00 - 13:00：每位$98 / 4小時  
14:00 - 18:00：每位$118 / 3小時；$138 / 4小時 
19:00 - 00:00：每位$128 / 3小時；$148 / 4小時
00:00 - 07:00（可加鐘提早入場）：每位$148 / 3小時；$188 / 7小時 

星期五至日、公眾假期及公眾假期前夕（任何時段）

每位$128 / 3小時  
每位$148 / 4小時 

 
人頭計算 ，任飲任玩 ！
一口價；不設加一！
攝影用途另設收費，詳情請透過ReUbird查詢（請誠實）",葵涌大連排道金豐工業大廈一期地下, 場地面積: 1200 (平方尺) ,"
 場地最高可容納人數: 40人 "
2119b Party,https://reubird.hk/party-room/2101-party-room/2101-party-room-2220,"

星期一至四：

09:00 - 18:00：每位 $25 / 小時
18:00 - 00:00：每位 $30 / 小時
00:00 - 09:00：每位 $25 / 小時 (或8小時每位$130)

 
星期五、六、日、公眾假期及公眾假期前夕：

09:00 - 18:00：每位$30 / 小時
18:00 - 00:00：每位$35 / 小時
00:00 - 09:00：每位$30 / 小時 (或8小時每位$150)

 
*加鐘依時段價錢收費

",旺角廣華街42-56號廣發商業中心, 場地面積: 320 (平方尺) ,"
 場地最高可容納人數: 15人 "
Endless Party House - 真。香港房,https://reubird.hk/party-room/endless-party-realhk/Zq-endless-party-realhk,"
每位$42 / 小時
",尖沙咀加拿芬道49號夏惠樓, 場地面積: 500 (平方尺) ,"
 場地最高可容納人數: 4人 "
LazyBoss - Tiffany blue 主題房,https://reubird.hk/party-room/lazyboss-tiffany-blue/gy-lazyboss-tiffany-blue,"星期一至四

09:00 - 13:00：每位$98 / 4小時  
14:00 - 18:00：每位$118 / 3小時；$138 / 4小時 
19:00 - 00:00：每位$128 / 3小時；$148 / 4小時
00:00 - 07:00（可加鐘提早入場）：每位$148 / 3小時；$188 / 7小時 

星期五至日、公眾假期及公眾假期前夕（任何時段）

每位$128 / 3小時  
每位$148 / 4小時 

 
人頭計算 ，任飲任玩 ！
一口價；不設加一！
攝影用途另設收費，詳情請透過ReUbird查詢（請誠實）",葵涌大連排道金豐工業大廈一期地下, 場地面積: 400 (平方尺) ,"
 場地最高可容納人數: 12人 "
Industparty,https://reubird.hk/party-room/industparty-party-room/industparty-party-room-3267,"星期一至四

09:00 - 14:00：每位$50 / 首3小時，之後每位加$15 / 小時
12:00 - 18:00：每位$80 / 首3小時，之後每位加$20 / 小時
18:00 - 23:30：每位$100 / 首3小時，之後每位加$20 / 小時
23:30 - 08:30：每位$130 / 首7小時，之後每位加$20 / 小時

星期五至日、公眾假期及公眾假期前夕

09:00 - 14:00：每位$80 / 首3小時，之後每位加$15 / 小時
12:00 - 18:00：每位$110 / 首3小時，之後每位加$20 / 小時
18:00 - 23:30：每位$130 / 首3小時，之後每位加$20 / 小時
22:30 - 08:30：每位$160 / 首7小時，之後每位加$25 / 小時
",觀塘偉業街146號美嘉工業大廈, 場地面積: 420 (平方尺) ,"
 場地最高可容納人數: 25人 "
